Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
tambah Customer dan product,,,,13-09-2024 02:54:14,13-09-2024 02:54:19,4.963s,PASSED
,,,,,,,
Test Cases/Customer/Create Customer,,,,13-09-2024 02:54:15,13-09-2024 02:54:19,3.972s,PASSED
"sendRequestAndVerify(findTestObject(""Postman/Customers/add  customer"", [""host"":host]))",,,,13-09-2024 02:54:15,13-09-2024 02:54:18,3.227s,PASSED
"sendRequestAndVerify(findTestObject(""Postman/Customers/get customers"", [""host"":host]))",,,,13-09-2024 02:54:18,13-09-2024 02:54:19,0.436s,PASSED
,,,,,,,
Test Cases/Products/Create Product,,,,13-09-2024 02:54:19,13-09-2024 02:54:19,0.805s,PASSED
"sendRequestAndVerify(findTestObject(""Postman/Products/add product"", [""host"":host, ""categoryId"":categoryId]))",,,,13-09-2024 02:54:19,13-09-2024 02:54:19,0.393s,PASSED
"sendRequestAndVerify(findTestObject(""Postman/Products/get products"", [""host"":host, ""categoryId"":categoryId]))",,,,13-09-2024 02:54:19,13-09-2024 02:54:19,0.309s,PASSED
